188651, -575, 4091, -138, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188687, -601, 3974, -299, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188724, -565, 4379, -263, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188761, -329, 4370, -385, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188797, -234, 4875, -526, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188834, -329, 4533, -617, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188871, -561, 4259, -737, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188908, -371, 3952, -930, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188944, -629, 3070, -706, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188981, -461, 2837, -345, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189018, -461, 2929, -549, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189055, -558, 3349, -776, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189093, -724, 3931, -495, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189132, -571, 3865, -717, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189171, -1505, 4533, -1359, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189210, -1246, 4139, -1260, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189249, -781, 4007, -1202, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189288, -734, 3868, -1112, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189327, -825, 3648, -1234, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189366, -982, 3868, -1115, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
189405, -1023, 3755, -1032, 102, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
