82985, -3477, 2569, 222, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83025, -3392, 1741, 263, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83066, -3183, 2170, 132, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83106, -3129, 2021, 79, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83146, -3129, 2336, -274, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83187, -3324, 2341, -864, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83227, -4131, 2797, -1049, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83267, -4111, 4816, -1195, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83308, -4042, 4983, -1518, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83345, -3591, 4489, -2030, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83382, -2705, 3770, -1821, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83419, -1223, 3979, -1047, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83457, -632, 3059, -202, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83494, 477, 3136, 159, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83531, 1270, 2772, 294, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83568, 1303, 1921, 929, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83606, 2475, 3797, 1364, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
83643, 3120, 3087, 1874, 64, 9cfa9f29-0237-404b-8d41-ac800e6be044, , transisi, transisi_sujud_ke_bersedekap, , 
