183276, 3505, 1228, 3609, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183317, 3510, 1162, 2700, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183352, 3138, 805, 2405, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183387, 2715, 543, 2185, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183422, 2680, 655, 2305, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183458, 2897, 816, 2818, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183493, 2907, 1029, 2623, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183528, 3139, 2626, 3141, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183563, 2894, 2452, 2428, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183599, 2970, 1159, 3628, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183634, 2395, 1042, 3762, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183669, 3113, 1108, 5706, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183705, 2568, 1308, 4438, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183745, 2432, 863, 3808, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183785, 1845, 275, 4393, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183825, 2145, -385, 4061, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183866, 2894, 492, 2782, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183906, 2791, 578, 1753, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183946, 2463, 892, 2009, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
