210380, 4000, 637, -210, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210423, 3988, 771, -215, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210466, 3646, 1027, 465, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210502, 3395, 682, 1173, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210539, 2157, 1516, 1107, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210575, 2640, 3322, 5598, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210612, 1050, 3445, 1260, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210649, 867, 2572, 922, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210685, 20, 1586, 1995, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210722, -146, 3364, 2196, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210758, 129, 3570, 3833, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210795, 1016, 5747, 4943, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210832, 1623, 2821, 2837, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210868, 1590, 2459, 1458, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210905, 2109, 2296, 1457, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210942, 3206, 2585, 2333, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210980, 2886, 3595, 1854, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211019, 3123, 3359, 1230, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211058, 3413, 4132, 2024, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211097, 3036, 3978, 2493, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211135, 2009, 3581, 2594, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211174, 2548, 3338, 2315, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211213, 3072, 2457, 1243, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211252, 3235, 2404, 995, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211290, 2935, 3256, 822, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211329, 2983, 3221, 435, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211368, 3142, 2565, 608, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211407, 3111, 2625, 409, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211446, 2987, 2401, -206, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211486, 3333, 1784, -295, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211527, 3241, 2022, -514, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211568, 2929, 1905, -192, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211609, 2571, 1548, 76, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211650, 2868, 1707, 147, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211691, 3574, 1572, 471, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
211731, 3476, 1018, 413, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
