231279, 3354, -707, -2304, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231314, 3541, -2588, -3191, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231350, 4292, -1627, -3297, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231385, 4334, -1400, -2635, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231420, 4956, -2010, -2637, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231455, 4619, -1515, -2203, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231490, 4095, -968, -1792, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231526, 3459, -37, -1407, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231566, 3065, -653, -2291, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231607, 3151, -355, -2583, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231648, 3368, -717, -2972, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231689, 3928, -648, -2438, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231730, 3718, -998, -2107, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231770, 3516, -668, -2068, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231811, 3426, -446, -2054, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231852, 3405, -425, -2299, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231893, 3344, -445, -2416, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
