182069, 3243, -604, -2953, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182111, 3021, -943, -2762, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182154, 3355, -242, -2543, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182197, 3132, -1033, -2215, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182239, 3342, -803, -2579, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182282, 3437, -783, -2616, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182324, 3425, -912, -2413, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182367, 3406, -391, -2357, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182410, 3420, -457, -2488, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182443, 3285, -455, -2605, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
