105369, 3801, -1329, -1377, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105408, 3940, -628, -1213, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105444, 3962, -754, -1683, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105481, 3885, -890, -1671, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105518, 3517, -802, -1809, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105555, 3446, -1333, -1911, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105592, 3513, -1331, -1881, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105629, 3601, -1526, -1821, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105666, 3608, -1203, -1845, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105703, 3686, -793, -1984, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105740, 3542, -870, -2492, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105777, 3369, -751, -2378, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105814, 3312, -754, -2621, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105855, 3436, -778, -2391, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105897, 3065, -1156, -2211, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105939, 3494, -894, -2370, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105981, 3481, -1034, -2827, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106023, 3226, -1077, -2396, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106065, 3349, -713, -2868, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106107, 2982, -1109, -2569, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106149, 2726, -1020, -2235, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106191, 2929, -1014, -2571, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106233, 2888, -1432, -2506, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106276, 3124, -1547, -2744, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106319, 2995, -1301, -2670, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106363, 3290, -763, -2901, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106406, 3095, -877, -2883, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106450, 3464, -1267, -2899, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106493, 3191, -1448, -2572, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106536, 2829, -1285, -2504, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106580, 3014, -1120, -2624, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106623, 3037, -1187, -2755, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106667, 2766, -988, -2570, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106698, 2783, -949, -2776, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106730, 2821, -1208, -2749, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106762, 2872, -1252, -2772, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106794, 2796, -1328, -2797, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106826, 2800, -1385, -2770, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106857, 2812, -1174, -2779, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106889, 2803, -1914, -3002, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106921, 2902, -1547, -2669, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106953, 2847, -1298, -2651, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
106985, 2771, -1222, -2737, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
107017, 2772, -1309, -2733, 96, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
107057, 2789, -1327, -2718, 95, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
