89962, -3181, 161, 2299, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90000, -3204, 328, 2372, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90038, -3016, 353, 2546, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90076, -2929, 516, 2594, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90114, -2834, 723, 2750, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90152, -2583, 540, 2840, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90191, -2582, 932, 3005, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90236, -2340, 857, 3383, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90282, -2288, 1165, 3233, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90328, -1957, 1053, 3689, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90373, -2004, 1436, 3447, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90419, -1745, 1271, 3735, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90465, -1710, 1567, 3592, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90510, -1632, 1473, 3811, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90556, -1421, 1856, 3801, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90602, -1347, 1590, 3817, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90648, -1216, 2117, 3530, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90678, -1090, 2084, 3534, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90709, -983, 2094, 3439, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90740, -1010, 2389, 3279, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90771, -882, 2312, 3298, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90802, -885, 2552, 3090, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90832, -793, 2655, 3065, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90863, -756, 2778, 3107, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90894, -808, 3136, 2903, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90925, -733, 3065, 2950, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90956, -630, 3476, 2742, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
90987, -702, 3356, 2332, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91026, -436, 3515, 2404, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91065, -734, 3732, 2154, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91105, -484, 3457, 1900, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91144, -712, 4046, 1677, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91184, -603, 3351, 1578, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91223, -957, 4076, 1147, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91262, -1033, 3897, 802, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
91302, -1101, 3778, 493, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
