272996, 2939, 1238, 2784, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273036, 2918, 991, 2439, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273077, 3134, 1328, 2859, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273117, 2683, 1136, 2730, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273158, 2763, 1085, 2642, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273198, 2756, 1423, 2934, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273239, 2730, 1161, 2703, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273276, 2869, 1075, 2480, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273313, 2845, 1336, 2782, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273350, 2832, 1020, 2630, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273388, 3023, 1297, 2917, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273425, 2822, 1243, 2775, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273462, 2808, 1156, 2663, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273499, 2846, 1284, 2776, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273537, 2898, 1291, 2762, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273574, 2759, 1308, 2674, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273611, 2806, 1338, 2823, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273649, 2871, 1392, 2762, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273687, 2804, 1568, 2583, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273726, 2853, 1536, 2710, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273764, 2728, 1545, 2539, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273803, 2707, 1658, 2700, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273841, 2716, 1495, 2708, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273880, 2670, 1524, 2764, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273918, 2720, 1669, 2859, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273957, 2749, 1551, 2630, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
273995, 2689, 1540, 2631, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274034, 2804, 1577, 2702, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274074, 2772, 1589, 2635, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274115, 2732, 1609, 2568, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274156, 2755, 1619, 2673, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274196, 2763, 1590, 2641, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274237, 2769, 1577, 2639, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274278, 2818, 1622, 2567, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274318, 2845, 1559, 2490, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
274359, 2842, 1618, 2559, 70, 7677e1cd-707c-448d-a8a2-4fa882cada8f, , transisi, transisi_sujud_ke_duduk, , 
