152645, 3135, 466, 2713, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152685, 3119, 471, 2694, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152726, 3134, 479, 2693, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152767, 3135, 460, 2689, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152808, 3134, 456, 2694, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152849, 3113, 478, 2698, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152890, 3126, 455, 2711, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152925, 3129, 465, 2706, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152960, 3138, 471, 2705, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
152995, 3139, 431, 2676, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153031, 3128, 487, 2683, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153066, 3140, 442, 2694, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153101, 3150, 475, 2674, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153137, 3137, 474, 2682, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153172, 3135, 474, 2655, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153207, 3157, 461, 2678, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153243, 3148, 513, 2662, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153285, 3151, 494, 2667, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153328, 3167, 497, 2655, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153371, 3172, 486, 2629, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153413, 3209, 497, 2628, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153456, 3149, 508, 2633, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153499, 3175, 485, 2633, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153541, 3167, 486, 2606, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153584, 3164, 517, 2634, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153627, 3197, 521, 2611, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153670, 3203, 510, 2581, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153704, 3201, 485, 2638, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153738, 3222, 605, 2650, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153772, 3234, 521, 2542, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153806, 3191, 602, 2559, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
153840, 3130, 474, 2664, 97, 0e9881aa-3262-42a5-b147-e57b41c6448e, , sujud, sujud, , 
