40830, -174, 4077, -335, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40874, -200, 4117, -371, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40919, -163, 4098, -361, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40964, -159, 4071, -324, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41008, -155, 4118, -411, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41053, -151, 4039, -332, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41097, -170, 4067, -330, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41142, -159, 4104, -323, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41187, -149, 4084, -321, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41219, -152, 4115, -343, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41251, -147, 4051, -332, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41283, -183, 4042, -338, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41316, -159, 4095, -325, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41348, -148, 4089, -322, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41380, -174, 4112, -337, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41412, -154, 4086, -313, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41445, -162, 4052, -341, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41477, -163, 4131, -348, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41509, -152, 4088, -338, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41542, -130, 4099, -326, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41586, -174, 4081, -358, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41630, -142, 4064, -332, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41675, -153, 4076, -331, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41719, -168, 4087, -342, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41764, -139, 4077, -342, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41808, -178, 4091, -376, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41852, -154, 4056, -364, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41897, -182, 4077, -380, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41941, -179, 4076, -383, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
41986, -173, 4086, -371, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
42023, -170, 4075, -379, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
42061, -167, 4063, -356, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
42099, -190, 4093, -374, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
42136, -160, 4081, -397, 80, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
