28994, -245, 3924, -1146, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29033, -232, 3888, -1149, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29068, -254, 3898, -1129, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29103, -251, 3922, -1155, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29138, -278, 3912, -1111, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29173, -269, 3944, -1149, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29208, -234, 3932, -1184, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29243, -224, 3942, -1111, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29278, -261, 3945, -1139, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29313, -226, 3965, -1193, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29348, -236, 3911, -1097, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29383, -247, 3909, -1120, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29418, -254, 3950, -1091, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29458, -237, 3910, -1171, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29499, -264, 3989, -1130, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29539, -250, 3892, -1136, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29580, -236, 3902, -1099, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29620, -253, 3923, -1138, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29661, -225, 3890, -1174, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29701, -230, 3870, -1160, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29742, -223, 3929, -1143, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29782, -256, 3947, -1162, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29823, -249, 3980, -1202, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29863, -233, 3956, -1188, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29904, -260, 3898, -1157, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29945, -239, 3927, -1183, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
29986, -227, 3884, -1232, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30027, -246, 3937, -1148, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30067, -259, 3905, -1223, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30108, -199, 3912, -1167, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30149, -234, 3916, -1195, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30190, -256, 3896, -1199, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30231, -249, 3908, -1187, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30268, -269, 3935, -1179, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30305, -253, 3909, -1206, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30342, -265, 3886, -1144, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30379, -278, 3946, -1194, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30416, -263, 3913, -1187, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30453, -249, 3907, -1136, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30490, -267, 3920, -1176, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30527, -272, 3955, -1179, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30564, -268, 3871, -1145, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30601, -261, 3896, -1182, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30639, -277, 3940, -1152, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30684, -264, 3930, -1208, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30729, -261, 3883, -1141, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30774, -277, 3903, -1177, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30819, -261, 3923, -1156, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30864, -256, 3953, -1184, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30909, -266, 3947, -1196, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30954, -254, 3913, -1132, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
30999, -263, 3965, -1146, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
31044, -271, 3901, -1156, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
31090, -242, 3900, -1170, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
