231399, 135, 3986, -1013, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231439, 132, 3952, -1037, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231479, 130, 3948, -1033, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231519, 124, 3931, -998, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231559, 123, 3967, -1055, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231599, 124, 3928, -1054, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231640, 108, 3971, -1051, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231676, 137, 3967, -1009, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231713, 120, 3977, -976, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231750, 109, 3961, -1010, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231787, 126, 3970, -1016, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231824, 148, 3957, -1004, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231860, 116, 3958, -1020, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231897, 156, 3964, -992, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231934, 146, 3991, -1026, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231971, 122, 3982, -1045, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232008, 150, 3971, -1065, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232045, 184, 3975, -1027, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232084, 161, 3990, -971, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232124, 146, 3991, -949, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232164, 148, 3967, -971, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232204, 127, 3973, -986, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232244, 131, 3981, -974, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232283, 127, 3998, -990, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232323, 143, 3988, -1023, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232363, 144, 3952, -956, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232403, 153, 3966, -979, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232443, 153, 3980, -984, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232479, 148, 3966, -992, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232515, 145, 3980, -1013, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232551, 145, 3999, -1003, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232587, 132, 3971, -970, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232623, 164, 3970, -970, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232659, 158, 3969, -979, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232695, 133, 3997, -982, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232731, 151, 3965, -999, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232767, 130, 3970, -1038, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232803, 156, 3984, -1003, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232839, 129, 3954, -1062, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232878, 148, 3970, -997, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232918, 119, 3997, -1003, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232957, 141, 3993, -970, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
232997, 111, 3983, -950, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233036, 120, 3995, -960, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233076, 115, 3995, -995, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233115, 110, 3967, -1003, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233155, 132, 3962, -986, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233194, 121, 3993, -1010, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233234, 102, 3989, -1006, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233276, 120, 3987, -1015, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233319, 154, 3974, -1023, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233361, 136, 3964, -1011, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233404, 108, 3966, -1070, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233446, 150, 3965, -1033, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233489, 113, 3969, -1064, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233531, 129, 3929, -1057, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233574, 159, 3941, -1052, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233616, 122, 3955, -1090, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233659, 118, 3957, -1050, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233693, 116, 3969, -1033, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233728, 138, 3971, -1034, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233763, 125, 3983, -1038, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233797, 111, 3961, -1037, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233832, 128, 3976, -1041, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233867, 152, 3975, -1021, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233902, 113, 3982, -1047, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233936, 127, 3990, -1061, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
233971, 136, 3977, -1014, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234006, 149, 3932, -1017, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234041, 152, 3978, -995, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234081, 146, 3967, -1025, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234121, 132, 3964, -1040, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234161, 145, 3966, -1024, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234202, 138, 3974, -1019, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234242, 164, 3958, -1033, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234282, 161, 3992, -1016, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234323, 146, 3990, -1014, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234363, 121, 3960, -1041, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234403, 169, 3972, -998, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234444, 128, 3982, -1039, 90, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234480, 152, 3963, -1017, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234516, 169, 3973, -1002, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234552, 172, 3946, -1013, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234588, 166, 3966, -1017, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234624, 155, 3980, -1020, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234660, 160, 3990, -1012, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234696, 160, 3877, -986, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234732, 155, 3988, -1019, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234768, 181, 3946, -994, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234804, 136, 3971, -1013, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234841, 143, 3965, -1042, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234879, 149, 3964, -1040, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234917, 158, 3994, -1002, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234955, 152, 3975, -1068, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
234994, 151, 3951, -1013, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
235032, 154, 3962, -984, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
235070, 156, 3968, -984, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
235109, 170, 3974, -1041, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
235147, 161, 3997, -1040, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
235185, 149, 3974, -1016, 89, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
