419179, -916, 3831, -1098, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419220, -906, 3811, -1066, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419261, -920, 3849, -1083, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419302, -912, 3822, -1096, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419338, -924, 3846, -1089, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419375, -900, 3826, -1105, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419411, -901, 3873, -1080, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419448, -882, 3841, -1104, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419485, -876, 3813, -1065, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419521, -911, 3849, -1111, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419558, -919, 3837, -1121, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419595, -894, 3832, -1104, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419631, -909, 3818, -1119, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419668, -888, 3819, -1141, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419705, -901, 3835, -1128, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419743, -876, 3820, -1116, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419782, -892, 3828, -1136, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419821, -890, 3821, -1178, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419860, -874, 3839, -1126, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419899, -875, 3784, -1155, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419937, -880, 3858, -1156, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
419976, -898, 3880, -1156, 64, bb82ded1-5cda-4e3f-9c9e-06d959bfdfc4, , berdiri, bersedekap, , 
