277942, 9880, 1049, 761, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277979, 6685, 950, -120, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278016, 5292, 766, -641, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278056, 5603, 342, -3, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278096, 4655, 120, 865, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278137, 4169, -145, 1118, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278177, 4069, -414, 858, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278218, 4092, 75, 695, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278258, 4277, -126, 762, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278298, 4487, -136, 560, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278339, 4637, -158, 398, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278379, 5437, -789, -765, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278420, 4154, 433, -8026, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278458, 3381, -646, -4515, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278497, 5572, -661, -794, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278536, 4383, -333, 220, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278575, 4407, 349, -391, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278614, 3915, 1198, -709, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
278652, 3647, 1754, -1073, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
