198062, -564, -853, -121, 86, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198092, 89, -257, 420, 86, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198133, 1315, 1462, 1021, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198174, 1557, 5427, 4445, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198215, 973, 3684, 3337, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198256, 3592, 1724, 972, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198297, 6403, 1844, 185, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198338, 9416, 2251, 1390, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198379, 11940, 3111, 2233, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198420, 9941, 3142, 437, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198461, 4907, 4448, -570, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198503, 2848, 1729, -995, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198544, 4125, 2062, -565, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198586, 4944, 2004, -386, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198627, 3675, 886, 214, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198669, 2701, 1233, -142, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198711, 3128, 1384, -383, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198752, 4149, 1571, -546, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
198794, 4593, 1396, -431, 82, 4d165599-1e85-4886-817e-adad2f6cd7d0, , transisi, transisi_ruku_ke_iktidal, , 
