351971, -2983, -2509, -291, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352013, -2950, -2516, -188, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352055, -2842, -2500, -340, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352097, -2559, -2573, -284, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352139, -2336, -2482, -252, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352176, -1890, -2434, -271, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352213, -1620, -2119, -386, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352250, -1324, -1822, -467, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352287, -1009, -1425, -402, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352324, -397, -793, -173, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352361, 248, 24, 310, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352398, 1194, 1555, 1331, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352435, 1968, 4595, 3330, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352472, 2306, 4702, 2635, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352509, 3738, 4647, 2476, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352546, 4977, 3293, 1753, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352583, 8255, 1493, 1040, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352620, 13428, 2558, -281, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352657, 9471, 5199, -279, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352694, 3494, 3441, -512, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352732, 3183, 968, -53, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352769, 4536, 2092, -819, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352806, 4543, 2076, -200, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352843, 3968, 1224, 557, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352880, 2669, 1302, 401, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352918, 3205, 1490, -177, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352958, 4033, 1514, -203, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
352998, 4593, 1823, -233, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353038, 4294, 1326, 5, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353078, 4693, 1479, 330, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353119, 4342, -32, 198, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353159, 4524, -1619, 283, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353199, 4148, -1123, 420, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353239, 4277, -225, 319, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353279, 4138, 19, -59, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353320, 4045, 433, -237, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
353362, 3978, 423, -52, 76, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
