101781, 4305, 6363, -2866, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101817, 3059, -185, -294, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101858, 4552, 1760, -1513, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101900, 5304, 2767, -2059, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101941, 3172, 1713, -693, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101983, 2602, 1840, -849, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102024, 3009, 1764, -1588, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102066, 3519, 2029, -1745, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102107, 3984, 1774, -1707, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102149, 4392, 1598, -1474, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102190, 5319, 1701, -849, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102232, 8064, -6430, 4008, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102273, 3086, -3862, 1133, 73, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102315, 3754, 895, -1215, 73, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102357, 4170, -240, -1105, 73, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
102399, 4080, -941, -882, 73, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
