87906, 2743, 1649, 699, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87946, 3022, 1418, -24, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87986, 3682, 2045, -928, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
88027, 4072, 1678, -589, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
88067, 4426, 1186, -617, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
88107, 4578, 1912, -254, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
88148, 6038, -445, 3544, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
88188, 3470, -6261, 2629, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
88228, 4110, 398, 375, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
88269, 4170, 662, -565, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
