110092, -1120, -1827, 56, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110128, -978, -1231, 148, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110164, -612, -631, 202, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110200, -35, 87, 330, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110237, 832, 2631, 1086, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110273, 1215, 3053, 1358, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110309, 3160, 9367, 3296, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110345, 2302, 4459, -696, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110381, 4525, 1582, -461, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110418, 9151, 4023, -522, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110458, 9675, 3166, 942, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110498, 10064, 3648, -3804, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110538, 3878, 2432, -665, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110578, 2781, 1732, -2286, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110619, 3459, 1327, -1763, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110659, 4502, 1202, -759, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110699, 3874, 1061, -366, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110739, 3023, 1292, -783, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110779, 3006, 1389, -1371, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110820, 3985, 1637, -1209, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110861, 4584, 1214, -244, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110902, 4426, 1325, 246, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110944, 4393, 693, 112, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110985, 4220, 239, -365, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111027, 4092, 201, -533, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111068, 4231, 99, -573, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111109, 4200, -26, -303, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111151, 4009, 123, -551, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111192, 3795, 377, -526, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111234, 3841, 616, -449, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111268, 3985, 876, -299, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111303, 4069, 1188, -167, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111338, 4100, 1300, -166, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111373, 3975, 1285, -201, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111408, 3967, 1199, -330, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111443, 3951, 1066, -362, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111478, 3976, 1013, -374, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
111513, 4033, 1060, -350, 95, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
