221872, 2846, 2513, 1608, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221914, 2797, 2548, 1616, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221957, 2852, 2566, 1578, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222000, 2844, 2663, 1576, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222033, 2821, 2535, 1550, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222067, 2813, 2553, 1532, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222101, 2864, 2559, 1552, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222135, 2886, 2537, 1547, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222169, 2930, 2487, 1551, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222202, 2917, 2459, 1578, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222236, 2881, 2362, 1575, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222270, 2970, 2591, 1470, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
222304, 3034, 2431, 1492, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
