171016, 3129, 2337, 1390, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171049, 3143, 2281, 1316, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171082, 3199, 2311, 1250, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171115, 3228, 2280, 1295, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171148, 3163, 2357, 1246, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171181, 3303, 2044, 1267, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171214, 3269, 2281, 1112, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171247, 3308, 2234, 1048, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171280, 3328, 2321, 974, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171313, 3365, 2253, 988, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171346, 3358, 2170, 1003, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171379, 3362, 2267, 897, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171412, 3424, 2123, 813, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171445, 3449, 2160, 799, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171483, 3416, 2112, 776, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171521, 3474, 2125, 842, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171559, 3448, 2091, 860, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171598, 3418, 2108, 881, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171636, 3469, 2082, 831, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171674, 3492, 2049, 742, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171713, 3494, 2012, 700, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
171751, 3533, 2061, 652, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
